faculty_id,rank,hire_date,department,salary,employment_status,tenure_status,research_focus
FAC_00000088,Assistant Professor,2015-07-20,Department of Physics,102310,Active,Tenure-Track,Physics
FAC_00000089,Associate Professor,2012-03-11,Marine Science Institute,104311,Active,Tenured,Biology
FAC_00000090,Associate Professor,2004-06-19,Department of Mathematics,129913,Active,Tenured,Geology
FAC_00000091,Full Professor,2010-07-13,Department of Mathematics,258360,Active,Tenured,Environmental Science
FAC_00000092,Assistant Professor,2017-05-28,Department of Mathematics,93394,Active,Tenure-Track,Biology
FAC_00000093,Assistant Professor,2020-08-06,Department of Mathematics,92972,Active,Tenure-Track,Physics
FAC_00000094,Associate Professor,2005-02-28,Department of Chemistry,97586,Active,Tenure-Track,Astronomy
FAC_00000095,Associate Professor,2010-04-01,Department of Geological Sciences,134280,Active,Tenured,Mathematics
FAC_00000096,Full Professor,2004-08-28,Marine Science Institute,201422,Active,Tenured,Biology
FAC_00000097,Assistant Professor,2013-05-05,Marine Science Institute,114068,Active,Tenure-Track,Marine Science
FAC_00000098,Associate Professor,2016-04-12,Marine Science Institute,118731,Active,Tenure-Track,Astronomy
FAC_00000099,Full Professor,2000-12-19,Marine Science Institute,176461,Active,Tenured,Neuroscience
FAC_00000100,Associate Professor,2019-02-09,Department of Statistics,120794,Active,Tenure-Track,Chemistry
FAC_00000101,Assistant Professor,2021-03-13,Department of Physics,88076,Active,Tenure-Track,Neuroscience
FAC_00000102,Full Professor,2008-02-27,Department of Astronomy,249194,Active,Tenured,Environmental Science
FAC_00000103,Assistant Professor,2013-05-02,Department of Mathematics,92063,Active,Tenure-Track,Neuroscience
FAC_00000104,Lecturer,2017-11-09,Department of Chemistry,65549,Active,Non-Tenure-Track,Mathematics
FAC_00000105,Assistant Professor,2005-11-18,Department of Chemistry,83108,Active,Tenure-Track,Physics
FAC_00000106,Associate Professor,2008-10-07,Marine Science Institute,118550,Active,Tenured,Statistics
FAC_00000107,Adjunct,2011-04-26,Department of Astronomy,33133,Active,Non-Tenure-Track,Neuroscience
FAC_00000108,Associate Professor,2012-03-14,Department of Statistics,117528,On Leave,Tenured,Neuroscience
FAC_00000109,Associate Professor,2006-02-10,Department of Chemistry,144819,Active,Tenured,Mathematics
FAC_00000110,Assistant Professor,2004-06-10,Department of Mathematics,100309,Active,Tenure-Track,Physics
FAC_00000111,Associate Professor,2014-04-23,Marine Science Institute,127664,Active,Tenured,Chemistry
FAC_00000112,Assistant Professor,2018-01-15,Department of Geological Sciences,103665,Active,Tenure-Track,Statistics
FAC_00000113,Assistant Professor,2024-10-14,Department of Biology,78410,Active,Tenure-Track,Marine Science
FAC_00000114,Full Professor,2001-04-22,Department of Astronomy,262971,Active,Tenured,Marine Science
FAC_00000115,Full Professor,2011-08-08,Department of Chemistry,275673,Active,Tenured,Neuroscience
FAC_00000116,Associate Professor,2009-02-22,Department of Physics,111061,Active,Tenured,Marine Science
FAC_00000117,Adjunct,2000-01-01,Department of Biology,49956,Active,Non-Tenure-Track,Statistics
FAC_00000118,Associate Professor,2000-09-21,Department of Physics,159920,Active,Tenure-Track,Marine Science
FAC_00000119,Full Professor,2020-11-24,Department of Chemistry,164334,Active,Tenured,Neuroscience
FAC_00000120,Assistant Professor,2002-02-16,Department of Biology,80854,Active,Tenure-Track,Marine Science
FAC_00000121,Associate Professor,2017-09-27,Department of Chemistry,130328,Active,Tenure-Track,Mathematics
FAC_00000122,Assistant Professor,2000-06-06,Department of Astronomy,100227,Active,Tenure-Track,Environmental Science
FAC_00000123,Assistant Professor,2012-03-04,Marine Science Institute,97646,Active,Tenure-Track,Physics
FAC_00000124,Assistant Professor,2010-02-12,Department of Mathematics,86914,Active,Tenure-Track,Neuroscience
FAC_00000125,Assistant Professor,2000-12-18,Marine Science Institute,116784,Active,Tenure-Track,Mathematics
FAC_00000126,Assistant Professor,2024-08-03,Department of Biology,108506,Active,Tenure-Track,Astronomy
FAC_00000127,Full Professor,2004-09-09,Department of Geological Sciences,275713,Active,Tenured,Chemistry
FAC_00000128,Assistant Professor,2015-06-06,Department of Geological Sciences,76033,Active,Tenure-Track,Astronomy
FAC_00000129,Adjunct,2005-04-12,Department of Biology,57721,Active,Non-Tenure-Track,Marine Science
FAC_00000130,Full Professor,2023-11-09,Department of Mathematics,149461,Active,Tenured,Marine Science
FAC_00000131,Associate Professor,2009-12-06,Department of Physics,155890,Active,Tenured,Geology
FAC_00000132,Full Professor,2002-07-17,Department of Chemistry,188724,Active,Tenured,Mathematics
FAC_00000133,Assistant Professor,2009-08-09,Marine Science Institute,104979,Active,Tenure-Track,Astronomy
FAC_00000134,Full Professor,2000-05-28,Marine Science Institute,150878,Active,Tenured,Marine Science
FAC_00000135,Lecturer,2007-11-21,Department of Astronomy,55491,Active,Non-Tenure-Track,Chemistry
FAC_00000136,Associate Professor,2023-11-16,Department of Geological Sciences,128538,Active,Tenured,Geology
FAC_00000137,Assistant Professor,2007-01-04,Department of Statistics,79541,Active,Tenure-Track,Marine Science
FAC_00000138,Lecturer,2022-08-07,Department of Astronomy,59708,Active,Non-Tenure-Track,Chemistry
FAC_00000139,Lecturer,2010-11-06,Department of Physics,84364,Active,Non-Tenure-Track,Environmental Science
FAC_00000140,Lecturer,2013-11-27,Department of Geological Sciences,64665,Active,Non-Tenure-Track,Biology
FAC_00000141,Lecturer,2003-11-01,Department of Mathematics,77797,Active,Non-Tenure-Track,Environmental Science
FAC_00000142,Adjunct,2004-12-17,Department of Statistics,40492,Active,Non-Tenure-Track,Environmental Science
FAC_00000143,Associate Professor,2002-07-26,Department of Statistics,123615,Active,Tenured,Marine Science
FAC_00000144,Assistant Professor,2024-06-24,Department of Physics,87126,Active,Tenure-Track,Geology
FAC_00000145,Associate Professor,2015-03-08,Department of Biology,98723,Active,Tenured,Mathematics
FAC_00000146,Assistant Professor,2001-08-15,Department of Statistics,114385,Active,Tenure-Track,Environmental Science
FAC_00000147,Full Professor,2002-08-05,Department of Mathematics,203208,Active,Tenured,Neuroscience
FAC_00000148,Adjunct,2012-10-14,Department of Geological Sciences,48067,Active,Non-Tenure-Track,Geology
FAC_00000149,Associate Professor,2002-07-22,Department of Statistics,96464,Active,Tenure-Track,Marine Science
FAC_00000150,Assistant Professor,2022-06-14,Department of Statistics,97284,Active,Tenure-Track,Marine Science
FAC_00000151,Associate Professor,2008-04-07,Department of Astronomy,127286,Active,Tenured,Mathematics
FAC_00000152,Assistant Professor,2016-08-01,Department of Statistics,104925,Active,Tenure-Track,Neuroscience
FAC_00000153,Associate Professor,2018-02-09,Department of Mathematics,97431,Active,Tenure-Track,Mathematics
FAC_00000154,Assistant Professor,2007-01-21,Marine Science Institute,82757,Active,Tenure-Track,Biology
FAC_00000155,Associate Professor,2000-01-25,Department of Biology,123137,Active,Tenured,Environmental Science
FAC_00000156,Lecturer,2022-11-23,Department of Physics,87527,Active,Non-Tenure-Track,Neuroscience
FAC_00000157,Assistant Professor,2006-06-27,Department of Biology,116565,Active,Tenure-Track,Mathematics
FAC_00000158,Adjunct,2001-03-27,Department of Biology,46227,Active,Non-Tenure-Track,Environmental Science
FAC_00000159,Full Professor,2012-08-18,Department of Geological Sciences,255756,Active,Tenured,Environmental Science
FAC_00000160,Assistant Professor,2007-02-01,Department of Mathematics,100306,Active,Tenure-Track,Marine Science
FAC_00000161,Associate Professor,2009-06-11,Department of Biology,116777,Active,Tenured,Neuroscience
FAC_00000162,Adjunct,2007-11-17,Marine Science Institute,51521,Active,Non-Tenure-Track,Astronomy
FAC_00000163,Assistant Professor,2011-11-02,Department of Chemistry,88962,Active,Tenure-Track,Environmental Science
FAC_00000164,Associate Professor,2005-01-01,Department of Astronomy,142900,Active,Tenured,Chemistry
FAC_00000165,Assistant Professor,2016-03-16,Department of Geological Sciences,87029,Active,Tenure-Track,Biology
FAC_00000166,Full Professor,2000-11-06,Department of Mathematics,232891,Active,Tenured,Environmental Science
FAC_00000167,Associate Professor,2023-12-05,Department of Mathematics,96099,Active,Tenured,Physics
FAC_00000168,Full Professor,2017-02-10,Department of Biology,233876,Active,Tenured,Statistics
FAC_00000169,Assistant Professor,2004-03-11,Department of Mathematics,98663,Active,Tenure-Track,Physics
FAC_00000170,Full Professor,2004-08-22,Department of Biology,176237,Active,Tenured,Marine Science
FAC_00000171,Associate Professor,2002-04-04,Department of Statistics,103151,Active,Tenured,Biology
FAC_00000172,Associate Professor,2010-07-01,Department of Geological Sciences,95616,Active,Tenured,Mathematics
FAC_00000173,Full Professor,2007-10-10,Department of Geological Sciences,191043,Active,Tenured,Mathematics
FAC_00000174,Adjunct,2000-04-19,Department of Mathematics,55303,Active,Non-Tenure-Track,Physics
FAC_00000175,Assistant Professor,2015-12-26,Department of Biology,75969,Active,Tenure-Track,Statistics
FAC_00000176,Lecturer,2016-02-25,Department of Statistics,88763,On Leave,Non-Tenure-Track,Biology
FAC_00000177,Adjunct,2024-04-25,Department of Biology,39715,Active,Non-Tenure-Track,Marine Science
FAC_00000178,Full Professor,2024-07-17,Department of Chemistry,174575,Active,Tenured,Neuroscience
FAC_00000179,Full Professor,2022-11-23,Department of Biology,182407,Active,Tenured,Neuroscience
FAC_00000180,Associate Professor,2006-02-16,Department of Statistics,119908,Active,Tenured,Biology
FAC_00000181,Assistant Professor,2021-03-02,Department of Physics,117897,Active,Tenure-Track,Chemistry
FAC_00000182,Assistant Professor,2011-04-04,Department of Astronomy,105744,Active,Tenure-Track,Statistics
FAC_00000183,Assistant Professor,2000-04-13,Department of Biology,92553,Active,Tenure-Track,Geology
FAC_00000184,Full Professor,2011-10-12,Department of Mathematics,208707,Active,Tenured,Statistics
FAC_00000185,Associate Professor,2021-06-23,Department of Mathematics,140100,Active,Tenured,Physics
FAC_00000186,Associate Professor,2017-03-17,Department of Mathematics,143287,Active,Tenured,Geology
FAC_00000187,Associate Professor,2005-07-06,Department of Astronomy,103171,Active,Tenured,Astronomy
FAC_00000188,Associate Professor,2017-12-01,Department of Biology,97779,Active,Tenured,Biology
FAC_00000189,Associate Professor,2016-10-21,Department of Geological Sciences,108128,Active,Tenured,Biology
FAC_00000190,Assistant Professor,2007-03-19,Department of Astronomy,71079,Active,Tenure-Track,Astronomy
FAC_00000191,Assistant Professor,2001-12-21,Department of Biology,95749,Active,Tenure-Track,Geology
FAC_00000192,Lecturer,2019-08-26,Department of Physics,81927,Active,Non-Tenure-Track,Astronomy
FAC_00000193,Full Professor,2013-04-12,Department of Astronomy,128057,Active,Tenured,Astronomy
FAC_00000194,Assistant Professor,2012-03-24,Department of Chemistry,110466,Active,Tenure-Track,Mathematics
FAC_00000195,Lecturer,2007-06-20,Department of Biology,88894,Active,Non-Tenure-Track,Neuroscience
FAC_00000196,Assistant Professor,2019-06-27,Department of Astronomy,117641,Active,Tenure-Track,Environmental Science
FAC_00000197,Associate Professor,2009-11-22,Department of Chemistry,100031,Active,Tenured,Biology
FAC_00000198,Lecturer,2011-04-08,Department of Biology,50249,Active,Non-Tenure-Track,Statistics
FAC_00000199,Assistant Professor,2012-03-06,Department of Geological Sciences,75463,Active,Tenure-Track,Environmental Science
FAC_00000200,Adjunct,2022-03-21,Department of Astronomy,31455,Active,Non-Tenure-Track,Mathematics
FAC_00000201,Lecturer,2009-12-25,Department of Biology,65086,Active,Non-Tenure-Track,Astronomy
FAC_00000202,Associate Professor,2022-08-08,Department of Chemistry,155314,Active,Tenured,Astronomy
FAC_00000203,Assistant Professor,2003-12-20,Department of Astronomy,88985,Active,Tenure-Track,Marine Science
FAC_00000204,Associate Professor,2001-04-17,Department of Mathematics,139827,Active,Tenure-Track,Geology
FAC_00000205,Lecturer,2021-10-20,Department of Astronomy,86960,Active,Non-Tenure-Track,Astronomy
FAC_00000206,Assistant Professor,2011-03-01,Department of Geological Sciences,117386,Active,Tenure-Track,Physics
FAC_00000207,Associate Professor,2008-05-12,Department of Statistics,115628,Active,Tenured,Biology
FAC_00000208,Associate Professor,2011-08-23,Department of Astronomy,151913,Active,Tenured,Mathematics
FAC_00000209,Lecturer,2016-12-27,Department of Mathematics,82045,Active,Non-Tenure-Track,Marine Science
FAC_00000210,Assistant Professor,2009-04-26,Department of Geological Sciences,72157,Active,Tenure-Track,Chemistry
FAC_00000211,Associate Professor,2011-06-08,Department of Statistics,155788,Active,Tenured,Marine Science
FAC_00000212,Associate Professor,2023-03-08,Department of Physics,130916,Active,Tenured,Marine Science
FAC_00000213,Assistant Professor,2003-07-14,Department of Chemistry,72764,Active,Tenure-Track,Physics
FAC_00000214,Full Professor,2023-02-17,Department of Physics,139903,Active,Tenured,Physics
FAC_00000215,Full Professor,2013-06-02,Department of Astronomy,276095,Active,Tenured,Biology
FAC_00000216,Associate Professor,2023-08-13,Department of Astronomy,100099,Active,Tenured,Marine Science
FAC_00000217,Associate Professor,2001-02-02,Department of Statistics,132196,Active,Tenured,Physics
FAC_00000218,Full Professor,2015-09-15,Department of Physics,142333,Active,Tenured,Marine Science
FAC_00000219,Associate Professor,2000-01-17,Department of Geological Sciences,119973,Active,Tenure-Track,Geology
FAC_00000220,Assistant Professor,2012-03-13,Marine Science Institute,87660,Active,Tenure-Track,Marine Science
FAC_00000221,Assistant Professor,2017-10-16,Department of Astronomy,111624,Active,Tenure-Track,Neuroscience
FAC_00000222,Associate Professor,2023-02-25,Department of Physics,106195,Active,Tenure-Track,Geology
FAC_00000223,Associate Professor,2004-09-26,Department of Statistics,99726,Active,Tenured,Marine Science
FAC_00000224,Full Professor,2011-03-27,Marine Science Institute,124682,Active,Tenured,Chemistry
FAC_00000225,Full Professor,2004-04-13,Department of Physics,134380,Active,Tenured,Chemistry
FAC_00000226,Lecturer,2011-01-04,Department of Biology,72563,Active,Non-Tenure-Track,Neuroscience
FAC_00000227,Associate Professor,2011-01-16,Department of Mathematics,153249,Active,Tenure-Track,Biology
FAC_00000228,Assistant Professor,2006-02-05,Department of Physics,112484,Active,Tenure-Track,Marine Science
FAC_00000229,Full Professor,2017-07-04,Department of Chemistry,134988,Active,Tenured,Environmental Science
FAC_00000230,Full Professor,2022-06-21,Department of Biology,172467,Active,Tenured,Statistics
FAC_00000231,Associate Professor,2011-09-08,Department of Statistics,102856,Active,Tenured,Marine Science
FAC_00000232,Full Professor,2010-09-22,Marine Science Institute,148681,Active,Tenured,Neuroscience
FAC_00000233,Associate Professor,2016-09-21,Department of Biology,143985,Active,Tenured,Mathematics
FAC_00000234,Assistant Professor,2003-03-23,Department of Geological Sciences,117601,Active,Tenure-Track,Chemistry
FAC_00000235,Assistant Professor,2008-02-28,Department of Geological Sciences,114750,Active,Tenure-Track,Geology
FAC_00000236,Lecturer,2019-08-22,Department of Geological Sciences,52839,Active,Non-Tenure-Track,Statistics
FAC_00000237,Assistant Professor,2006-11-14,Marine Science Institute,115344,Active,Tenure-Track,Marine Science
FAC_00000238,Adjunct,2008-12-25,Department of Statistics,64881,Active,Non-Tenure-Track,Statistics
FAC_00000239,Full Professor,2003-05-18,Department of Chemistry,157497,Active,Tenured,Neuroscience
FAC_00000240,Associate Professor,2004-05-25,Department of Statistics,103854,Active,Tenured,Mathematics
FAC_00000241,Assistant Professor,2017-07-16,Department of Mathematics,90627,Active,Tenure-Track,Mathematics
FAC_00000242,Associate Professor,2006-04-11,Department of Biology,158382,Active,Tenured,Physics
FAC_00000243,Lecturer,2009-08-25,Department of Chemistry,64139,Active,Non-Tenure-Track,Physics
FAC_00000244,Lecturer,2001-05-05,Marine Science Institute,87796,Active,Non-Tenure-Track,Statistics
FAC_00000245,Assistant Professor,2022-03-07,Department of Statistics,94969,Active,Tenure-Track,Marine Science
FAC_00000246,Associate Professor,2007-04-23,Department of Statistics,130688,Active,Tenured,Astronomy
FAC_00000247,Assistant Professor,2018-03-05,Department of Physics,101421,Active,Tenure-Track,Physics
FAC_00000248,Adjunct,2021-03-23,Department of Statistics,36563,Active,Non-Tenure-Track,Astronomy
FAC_00000249,Assistant Professor,2021-09-01,Department of Statistics,116431,Active,Tenure-Track,Astronomy
FAC_00000250,Assistant Professor,2014-11-04,Department of Physics,99628,Active,Tenure-Track,Neuroscience
FAC_00000251,Full Professor,2013-10-10,Department of Physics,219809,Active,Tenured,Geology
FAC_00000252,Lecturer,2012-05-05,Department of Chemistry,59734,On Leave,Non-Tenure-Track,Chemistry
FAC_00000253,Full Professor,2007-06-18,Department of Mathematics,186049,Active,Tenured,Physics
FAC_00000254,Assistant Professor,2024-11-28,Department of Statistics,114208,Active,Tenure-Track,Chemistry
FAC_00000255,Assistant Professor,2007-12-19,Department of Biology,103070,Active,Tenure-Track,Geology
FAC_00000256,Lecturer,2010-03-23,Department of Physics,76062,Active,Non-Tenure-Track,Statistics
FAC_00000257,Assistant Professor,2011-11-22,Department of Astronomy,103107,Active,Tenure-Track,Biology
FAC_00000258,Assistant Professor,2006-11-28,Marine Science Institute,84226,Active,Tenure-Track,Geology
FAC_00000259,Associate Professor,2017-03-06,Department of Chemistry,138214,Active,Tenure-Track,Astronomy
FAC_00000260,Full Professor,2006-12-12,Department of Statistics,244483,Active,Tenured,Biology
FAC_00000261,Assistant Professor,2005-07-02,Department of Biology,97632,Active,Tenure-Track,Astronomy
FAC_00000262,Lecturer,2008-07-06,Department of Astronomy,74215,Active,Non-Tenure-Track,Physics
FAC_00000263,Full Professor,2018-10-11,Department of Physics,264464,Active,Tenured,Neuroscience
FAC_00000264,Assistant Professor,2001-04-12,Department of Astronomy,101361,Active,Tenure-Track,Chemistry
FAC_00000265,Full Professor,2014-11-02,Department of Chemistry,193321,Active,Tenured,Physics
FAC_00000266,Lecturer,2013-07-08,Department of Geological Sciences,70513,Active,Non-Tenure-Track,Environmental Science
FAC_00000267,Assistant Professor,2010-11-26,Department of Statistics,76926,Active,Tenure-Track,Statistics
FAC_00000268,Assistant Professor,2022-12-16,Department of Chemistry,84345,Active,Tenure-Track,Marine Science
FAC_00000269,Assistant Professor,2020-04-03,Department of Physics,86760,Active,Tenure-Track,Neuroscience
FAC_00000270,Associate Professor,2012-11-04,Department of Geological Sciences,115038,Active,Tenured,Astronomy
FAC_00000271,Associate Professor,2014-09-02,Department of Mathematics,133258,Active,Tenured,Statistics
FAC_00000272,Associate Professor,2004-05-13,Department of Astronomy,123844,Active,Tenured,Astronomy
FAC_00000273,Full Professor,2015-11-26,Department of Statistics,236858,Active,Tenured,Chemistry
FAC_00000274,Assistant Professor,2002-08-09,Department of Physics,103300,Active,Tenure-Track,Chemistry
FAC_00000275,Associate Professor,2024-02-27,Department of Geological Sciences,114115,On Leave,Tenure-Track,Statistics
FAC_00000276,Assistant Professor,2012-04-01,Department of Statistics,91427,Active,Tenure-Track,Neuroscience
FAC_00000277,Full Professor,2014-08-22,Marine Science Institute,272387,Active,Tenured,Biology
FAC_00000278,Associate Professor,2016-06-08,Department of Physics,153757,Active,Tenured,Environmental Science
FAC_00000279,Assistant Professor,2021-09-10,Department of Chemistry,78763,Active,Tenure-Track,Environmental Science
FAC_00000280,Associate Professor,2011-02-21,Department of Chemistry,146177,Active,Tenure-Track,Statistics
