enrollment_id,student_id,course_id,semester,year,grade,grade_point,credits_earned
ENR_0000000056,STU_00000004,CRS_00000131,Fall,2022,B+,3.19,3
ENR_0000000057,STU_00000004,CRS_00000182,Spring,2019,B,2.79,4
ENR_0000000058,STU_00000004,CRS_00000383,Fall,2018,B+,3.11,2
ENR_0000000059,STU_00000004,CRS_00000180,Spring,2022,B+,3.26,4
ENR_0000000060,STU_00000004,CRS_00000158,Spring,2023,B-,2.7,3
ENR_0000000061,STU_00000004,CRS_00000389,Fall,2020,A,4.0,2
ENR_0000000062,STU_00000004,CRS_00000205,Summer,2021,B-,2.66,2
ENR_0000000063,STU_00000004,CRS_00000030,Summer,2022,B-,2.63,3
ENR_0000000064,STU_00000004,CRS_00000332,Summer,2023,B-,2.42,3
ENR_0000000065,STU_00000004,CRS_00000264,Spring,2019,B+,3.26,1
ENR_0000000066,STU_00000004,CRS_00000237,Fall,2022,C,2.16,2
ENR_0000000067,STU_00000004,CRS_00000049,Fall,2019,B+,3.07,3
ENR_0000000068,STU_00000004,CRS_00000380,Spring,2020,C,2.11,3
ENR_0000000069,STU_00000004,CRS_00000265,Fall,2024,A-,3.64,3
ENR_0000000070,STU_00000004,CRS_00000298,Spring,2019,B+,3.14,3
ENR_0000000071,STU_00000004,CRS_00000444,Fall,2022,A-,3.57,3
ENR_0000000072,STU_00000004,CRS_00000403,Spring,2020,B+,3.24,3
ENR_0000000073,STU_00000004,CRS_00000478,Spring,2019,B,2.91,2
ENR_0000000074,STU_00000004,CRS_00000199,Summer,2018,B+,3.18,3
ENR_0000000075,STU_00000004,CRS_00000473,Spring,2025,A-,3.47,3
ENR_0000000076,STU_00000004,CRS_00000126,Fall,2018,A,4.0,3
ENR_0000000077,STU_00000004,CRS_00000239,Fall,2020,B+,3.01,3
ENR_0000000078,STU_00000004,CRS_00000116,Spring,2020,B+,3.0,4
ENR_0000000079,STU_00000004,CRS_00000072,Spring,2021,B,2.75,4
ENR_0000000080,STU_00000005,CRS_00000262,Summer,2021,A-,3.3,3
ENR_0000000081,STU_00000005,CRS_00000214,Summer,2020,B+,3.08,3
ENR_0000000082,STU_00000005,CRS_00000351,Summer,2021,B+,3.01,3
ENR_0000000083,STU_00000005,CRS_00000061,Fall,2023,A-,3.35,3
ENR_0000000084,STU_00000005,CRS_00000188,Summer,2024,A-,3.48,3
ENR_0000000085,STU_00000005,CRS_00000292,Fall,2022,B+,3.15,3
ENR_0000000086,STU_00000005,CRS_00000425,Fall,2022,A-,3.37,3
ENR_0000000087,STU_00000005,CRS_00000458,Fall,2020,A-,3.34,3
ENR_0000000088,STU_00000005,CRS_00000468,Fall,2024,B+,3.17,3
ENR_0000000089,STU_00000005,CRS_00000483,Spring,2020,A-,3.62,3
ENR_0000000090,STU_00000005,CRS_00000082,Summer,2025,B,2.96,3
ENR_0000000091,STU_00000005,CRS_00000308,Summer,2024,A-,3.52,3
ENR_0000000092,STU_00000005,CRS_00000421,Fall,2024,A-,3.45,3
ENR_0000000093,STU_00000005,CRS_00000256,Summer,2023,A-,3.38,3
ENR_0000000094,STU_00000005,CRS_00000314,Summer,2019,A,3.77,4
ENR_0000000095,STU_00000005,CRS_00000454,Fall,2025,B,2.82,3
ENR_0000000096,STU_00000005,CRS_00000382,Spring,2024,B-,2.67,3
ENR_0000000097,STU_00000005,CRS_00000319,Fall,2024,B+,3.06,4
ENR_0000000098,STU_00000005,CRS_00000243,Spring,2019,B+,3.01,2
ENR_0000000099,STU_00000005,CRS_00000081,Summer,2022,A,4.0,3
ENR_0000000100,STU_00000005,CRS_00000080,Fall,2024,B+,3.22,3
ENR_0000000101,STU_00000005,CRS_00000153,Fall,2019,B+,3.1,3
ENR_0000000102,STU_00000005,CRS_00000104,Summer,2019,A-,3.42,3
ENR_0000000103,STU_00000005,CRS_00000445,Summer,2025,B,2.87,3
ENR_0000000104,STU_00000005,CRS_00000482,Spring,2022,B+,3.13,3
ENR_0000000105,STU_00000005,CRS_00000219,Summer,2020,A,3.91,3
ENR_0000000106,STU_00000005,CRS_00000352,Spring,2022,B,2.85,4
ENR_0000000107,STU_00000005,CRS_00000056,Fall,2021,A-,3.51,4
ENR_0000000108,STU_00000006,CRS_00000249,Fall,2023,A-,3.53,3
ENR_0000000109,STU_00000006,CRS_00000356,Fall,2024,A-,3.63,3
ENR_0000000110,STU_00000006,CRS_00000380,Fall,2021,A,4.0,3
ENR_0000000111,STU_00000006,CRS_00000438,Summer,2018,B+,3.24,3
ENR_0000000112,STU_00000006,CRS_00000203,Summer,2023,B+,3.16,3
ENR_0000000113,STU_00000006,CRS_00000067,Spring,2017,A,3.72,3
ENR_0000000114,STU_00000006,CRS_00000077,Summer,2020,A,4.0,3
ENR_0000000115,STU_00000006,CRS_00000373,Fall,2019,A,3.99,3
ENR_0000000116,STU_00000006,CRS_00000043,Spring,2020,A,3.8,3
ENR_0000000117,STU_00000006,CRS_00000069,Summer,2024,B+,3.07,3
ENR_0000000118,STU_00000006,CRS_00000389,Fall,2020,A,3.7,2
ENR_0000000119,STU_00000006,CRS_00000233,Fall,2017,A-,3.5,3
ENR_0000000120,STU_00000006,CRS_00000262,Fall,2018,A-,3.64,3
ENR_0000000121,STU_00000006,CRS_00000168,Fall,2020,A-,3.61,3
ENR_0000000122,STU_00000006,CRS_00000068,Spring,2019,A-,3.45,3
ENR_0000000123,STU_00000006,CRS_00000052,Spring,2017,A,3.84,4
ENR_0000000124,STU_00000006,CRS_00000461,Spring,2022,A,3.75,4
ENR_0000000125,STU_00000006,CRS_00000004,Summer,2021,A-,3.54,3
ENR_0000000126,STU_00000006,CRS_00000216,Fall,2020,A-,3.54,4
ENR_0000000127,STU_00000006,CRS_00000337,Fall,2024,A,4.0,3
ENR_0000000128,STU_00000006,CRS_00000163,Summer,2017,A,3.91,3
ENR_0000000129,STU_00000006,CRS_00000007,Fall,2025,A-,3.49,3
ENR_0000000130,STU_00000006,CRS_00000482,Fall,2020,A,3.8,3
ENR_0000000131,STU_00000006,CRS_00000304,Fall,2023,A,3.81,3
ENR_0000000132,STU_00000006,CRS_00000491,Summer,2021,A-,3.46,3
ENR_0000000133,STU_00000006,CRS_00000145,Spring,2022,A,3.77,3
ENR_0000000134,STU_00000006,CRS_00000090,Fall,2017,A,3.76,3
ENR_0000000135,STU_00000006,CRS_00000209,Fall,2019,A-,3.44,2
ENR_0000000136,STU_00000006,CRS_00000427,Spring,2020,A-,3.47,3
ENR_0000000137,STU_00000006,CRS_00000371,Spring,2017,A-,3.37,3
ENR_0000000138,STU_00000006,CRS_00000497,Fall,2025,A-,3.43,3
ENR_0000000139,STU_00000006,CRS_00000253,Fall,2023,A-,3.61,3
ENR_0000000140,STU_00000006,CRS_00000112,Summer,2023,A,4.0,3
ENR_0000000141,STU_00000006,CRS_00000334,Spring,2023,A-,3.63,3
ENR_0000000142,STU_00000006,CRS_00000389,Spring,2017,A-,3.52,2
ENR_0000000143,STU_00000006,CRS_00000305,Spring,2022,B+,3.29,3
ENR_0000000144,STU_00000007,CRS_00000190,Summer,2021,C,2.01,3
ENR_0000000145,STU_00000007,CRS_00000224,Fall,2024,B,2.75,3
ENR_0000000146,STU_00000007,CRS_00000076,Summer,2020,B,2.71,2
ENR_0000000147,STU_00000007,CRS_00000266,Summer,2021,B,2.94,2
ENR_0000000148,STU_00000007,CRS_00000006,Spring,2022,D,2.0,4
ENR_0000000149,STU_00000007,CRS_00000032,Summer,2023,B-,2.66,4
ENR_0000000150,STU_00000007,CRS_00000167,Fall,2022,B-,2.58,3
ENR_0000000151,STU_00000007,CRS_00000360,Summer,2022,B,2.72,3
ENR_0000000152,STU_00000007,CRS_00000127,Summer,2020,B,2.77,3
ENR_0000000153,STU_00000007,CRS_00000093,Spring,2020,A,4.0,3
ENR_0000000154,STU_00000007,CRS_00000470,Spring,2023,C,2.22,3
ENR_0000000155,STU_00000007,CRS_00000176,Fall,2019,B-,2.47,3
ENR_0000000156,STU_00000007,CRS_00000201,Fall,2020,B-,2.61,2
ENR_0000000157,STU_00000007,CRS_00000488,Summer,2020,C,2.11,1
ENR_0000000158,STU_00000007,CRS_00000180,Fall,2024,B-,2.69,4
ENR_0000000159,STU_00000007,CRS_00000198,Fall,2022,B+,3.11,2
ENR_0000000160,STU_00000007,CRS_00000050,Fall,2021,D,1.82,4
ENR_0000000161,STU_00000007,CRS_00000273,Spring,2021,C,2.13,3
ENR_0000000162,STU_00000007,CRS_00000078,Fall,2020,A-,3.46,3
ENR_0000000163,STU_00000007,CRS_00000259,Summer,2020,A-,3.38,3
ENR_0000000164,STU_00000007,CRS_00000424,Summer,2022,B+,3.08,2
ENR_0000000165,STU_00000007,CRS_00000498,Fall,2023,A-,3.64,3
ENR_0000000166,STU_00000007,CRS_00000194,Fall,2021,B,2.72,3
ENR_0000000167,STU_00000007,CRS_00000343,Summer,2023,C,2.25,2
ENR_0000000168,STU_00000007,CRS_00000119,Summer,2024,B-,2.55,3
ENR_0000000169,STU_00000007,CRS_00000307,Spring,2022,B-,2.55,3
ENR_0000000170,STU_00000007,CRS_00000364,Spring,2020,C,2.24,3
ENR_0000000171,STU_00000007,CRS_00000324,Summer,2023,B,2.83,3
ENR_0000000172,STU_00000008,CRS_00000321,Fall,2023,C,2.02,3
ENR_0000000173,STU_00000008,CRS_00000427,Fall,2024,D,1.74,3
ENR_0000000174,STU_00000008,CRS_00000203,Fall,2021,B-,2.59,3
ENR_0000000175,STU_00000008,CRS_00000365,Summer,2021,C,2.22,3
ENR_0000000176,STU_00000008,CRS_00000362,Summer,2025,D,1.48,3
ENR_0000000177,STU_00000008,CRS_00000305,Spring,2024,D,1.76,3
ENR_0000000178,STU_00000008,CRS_00000066,Spring,2020,C,2.03,3
ENR_0000000179,STU_00000008,CRS_00000456,Fall,2019,B,2.73,3
ENR_0000000180,STU_00000008,CRS_00000098,Fall,2023,D,1.98,3
ENR_0000000181,STU_00000008,CRS_00000273,Fall,2019,D,1.56,3
ENR_0000000182,STU_00000008,CRS_00000456,Fall,2020,D,1.79,3
ENR_0000000183,STU_00000008,CRS_00000481,Summer,2024,D,1.82,3
ENR_0000000184,STU_00000008,CRS_00000084,Fall,2025,C,2.29,3
ENR_0000000185,STU_00000008,CRS_00000099,Summer,2022,B,2.88,4
ENR_0000000186,STU_00000008,CRS_00000192,Fall,2022,B-,2.62,3
ENR_0000000187,STU_00000008,CRS_00000230,Spring,2021,C,2.25,4
ENR_0000000188,STU_00000008,CRS_00000158,Summer,2021,F,0.57,0
ENR_0000000189,STU_00000008,CRS_00000124,Fall,2025,D,1.47,4
ENR_0000000190,STU_00000008,CRS_00000396,Spring,2019,B+,3.19,3
ENR_0000000191,STU_00000008,CRS_00000334,Spring,2022,B-,2.35,3
ENR_0000000192,STU_00000008,CRS_00000017,Spring,2021,D,1.25,4
ENR_0000000193,STU_00000008,CRS_00000117,Summer,2021,B-,2.44,3
ENR_0000000194,STU_00000008,CRS_00000273,Summer,2022,D,1.57,3
ENR_0000000195,STU_00000008,CRS_00000021,Fall,2020,D,1.22,3
ENR_0000000196,STU_00000008,CRS_00000442,Fall,2021,F,0.39,0
ENR_0000000197,STU_00000008,CRS_00000082,Summer,2021,C,2.03,3
ENR_0000000198,STU_00000008,CRS_00000145,Spring,2025,C,2.1,3
ENR_0000000199,STU_00000008,CRS_00000283,Fall,2022,D,1.49,2
ENR_0000000200,STU_00000009,CRS_00000279,Summer,2023,B,2.76,1
ENR_0000000201,STU_00000009,CRS_00000023,Spring,2024,B,2.99,3
ENR_0000000202,STU_00000009,CRS_00000220,Spring,2025,B-,2.62,3
ENR_0000000203,STU_00000009,CRS_00000330,Spring,2023,B-,2.6,3
ENR_0000000204,STU_00000009,CRS_00000438,Fall,2024,B+,3.01,3
ENR_0000000205,STU_00000009,CRS_00000291,Fall,2023,B,2.7,2
ENR_0000000206,STU_00000009,CRS_00000356,Fall,2023,B,2.78,3
ENR_0000000207,STU_00000009,CRS_00000471,Fall,2025,A-,3.5,4
ENR_0000000208,STU_00000009,CRS_00000183,Summer,2024,A,4.0,3
ENR_0000000209,STU_00000009,CRS_00000136,Fall,2022,B-,2.41,3
ENR_0000000210,STU_00000009,CRS_00000145,Summer,2022,D,1.94,3
ENR_0000000211,STU_00000009,CRS_00000149,Summer,2024,D,1.5,4
ENR_0000000212,STU_00000009,CRS_00000400,Fall,2024,B,2.87,3
ENR_0000000213,STU_00000009,CRS_00000195,Spring,2024,A-,3.45,3
ENR_0000000214,STU_00000009,CRS_00000408,Spring,2022,B,2.82,1
ENR_0000000215,STU_00000009,CRS_00000406,Summer,2025,B,2.97,3
ENR_0000000216,STU_00000010,CRS_00000233,Summer,2023,C,2.18,3
ENR_0000000217,STU_00000010,CRS_00000437,Summer,2020,B+,3.08,3
ENR_0000000218,STU_00000010,CRS_00000114,Spring,2020,B+,3.08,3
ENR_0000000219,STU_00000010,CRS_00000402,Summer,2020,A-,3.41,3
ENR_0000000220,STU_00000010,CRS_00000334,Summer,2022,B-,2.53,3
ENR_0000000221,STU_00000010,CRS_00000432,Fall,2022,B+,3.29,3
ENR_0000000222,STU_00000010,CRS_00000472,Summer,2024,C,2.24,3
ENR_0000000223,STU_00000010,CRS_00000306,Spring,2020,D,1.49,3
ENR_0000000224,STU_00000010,CRS_00000160,Fall,2021,B+,3.23,2
ENR_0000000225,STU_00000010,CRS_00000095,Summer,2023,B-,2.69,3
ENR_0000000226,STU_00000010,CRS_00000246,Spring,2025,C,2.01,3
ENR_0000000227,STU_00000010,CRS_00000413,Spring,2022,B-,2.65,3
ENR_0000000228,STU_00000010,CRS_00000325,Fall,2022,C,2.13,1
ENR_0000000229,STU_00000010,CRS_00000473,Fall,2025,B-,2.57,3
ENR_0000000230,STU_00000010,CRS_00000010,Fall,2020,B-,2.58,3
ENR_0000000231,STU_00000010,CRS_00000055,Fall,2023,B,2.94,4
ENR_0000000232,STU_00000010,CRS_00000327,Summer,2020,B,2.73,3
ENR_0000000233,STU_00000010,CRS_00000310,Summer,2023,B+,3.22,3
ENR_0000000234,STU_00000010,CRS_00000015,Summer,2021,C,2.16,3
ENR_0000000235,STU_00000010,CRS_00000122,Summer,2024,B-,2.37,2
ENR_0000000236,STU_00000010,CRS_00000377,Summer,2024,B,2.75,3
ENR_0000000237,STU_00000010,CRS_00000089,Summer,2024,B-,2.38,3
ENR_0000000238,STU_00000010,CRS_00000177,Fall,2023,B,2.74,3
ENR_0000000239,STU_00000010,CRS_00000470,Fall,2024,C,2.17,3
ENR_0000000240,STU_00000011,CRS_00000251,Spring,2024,D,1.93,3
ENR_0000000241,STU_00000011,CRS_00000097,Summer,2025,A,3.91,4
ENR_0000000242,STU_00000011,CRS_00000494,Summer,2024,B,2.91,3
ENR_0000000243,STU_00000011,CRS_00000147,Spring,2024,B+,3.2,3
ENR_0000000244,STU_00000011,CRS_00000297,Summer,2024,A-,3.49,3
ENR_0000000245,STU_00000011,CRS_00000170,Fall,2024,B+,3.27,2
ENR_0000000246,STU_00000011,CRS_00000022,Summer,2024,A-,3.41,3
ENR_0000000247,STU_00000011,CRS_00000083,Summer,2024,B+,3.17,3
ENR_0000000248,STU_00000013,CRS_00000350,Spring,2024,B+,3.08,3
ENR_0000000249,STU_00000013,CRS_00000301,Fall,2025,A,3.93,1
ENR_0000000250,STU_00000013,CRS_00000188,Spring,2025,A-,3.56,3
ENR_0000000251,STU_00000013,CRS_00000448,Summer,2025,A-,3.37,1
ENR_0000000252,STU_00000013,CRS_00000446,Fall,2025,B+,3.19,3
ENR_0000000253,STU_00000013,CRS_00000330,Summer,2025,A,3.81,3
ENR_0000000254,STU_00000013,CRS_00000136,Fall,2025,A-,3.59,3
ENR_0000000255,STU_00000013,CRS_00000019,Fall,2025,A-,3.61,4
ENR_0000000256,STU_00000014,CRS_00000447,Spring,2024,A-,3.59,3
ENR_0000000257,STU_00000014,CRS_00000041,Summer,2022,A,3.95,3
ENR_0000000258,STU_00000014,CRS_00000243,Spring,2025,A,4.0,2
ENR_0000000259,STU_00000014,CRS_00000355,Fall,2023,A-,3.55,3
ENR_0000000260,STU_00000014,CRS_00000074,Fall,2023,A,3.72,3
ENR_0000000261,STU_00000014,CRS_00000248,Fall,2023,A,4.0,3
ENR_0000000262,STU_00000014,CRS_00000473,Summer,2025,A-,3.45,3
ENR_0000000263,STU_00000014,CRS_00000446,Spring,2023,B+,3.16,3
ENR_0000000264,STU_00000014,CRS_00000052,Summer,2024,A,4.0,4
ENR_0000000265,STU_00000014,CRS_00000250,Fall,2025,A-,3.34,3
ENR_0000000266,STU_00000014,CRS_00000173,Fall,2023,A,4.0,3
ENR_0000000267,STU_00000014,CRS_00000093,Fall,2025,B+,3.17,3
ENR_0000000268,STU_00000014,CRS_00000372,Fall,2024,A-,3.34,3
ENR_0000000269,STU_00000014,CRS_00000433,Summer,2025,A,3.92,3
ENR_0000000270,STU_00000014,CRS_00000339,Spring,2024,A,3.97,4
ENR_0000000271,STU_00000014,CRS_00000163,Fall,2024,A-,3.34,3
ENR_0000000272,STU_00000015,CRS_00000359,Summer,2022,A-,3.66,2
ENR_0000000273,STU_00000015,CRS_00000401,Fall,2022,A,4.0,3
ENR_0000000274,STU_00000015,CRS_00000420,Summer,2023,A,3.72,1
ENR_0000000275,STU_00000015,CRS_00000395,Summer,2021,A-,3.36,2
ENR_0000000276,STU_00000015,CRS_00000201,Fall,2019,A,3.76,2
ENR_0000000277,STU_00000015,CRS_00000212,Spring,2025,A-,3.47,3
ENR_0000000278,STU_00000015,CRS_00000157,Summer,2025,A,3.82,4
ENR_0000000279,STU_00000015,CRS_00000141,Summer,2024,A-,3.5,2
ENR_0000000280,STU_00000015,CRS_00000369,Fall,2024,A-,3.42,3
ENR_0000000281,STU_00000015,CRS_00000150,Fall,2023,A-,3.45,3
ENR_0000000282,STU_00000015,CRS_00000345,Summer,2024,A,3.79,3
ENR_0000000283,STU_00000015,CRS_00000240,Fall,2022,A,3.9,3
ENR_0000000284,STU_00000015,CRS_00000272,Fall,2018,B+,3.05,3
ENR_0000000285,STU_00000015,CRS_00000467,Fall,2024,A-,3.54,2
ENR_0000000286,STU_00000015,CRS_00000348,Fall,2019,A,3.94,2
ENR_0000000287,STU_00000015,CRS_00000355,Fall,2024,A-,3.56,3
ENR_0000000288,STU_00000015,CRS_00000416,Summer,2023,A-,3.39,3
ENR_0000000289,STU_00000015,CRS_00000322,Fall,2024,B+,3.17,3
ENR_0000000290,STU_00000015,CRS_00000441,Fall,2019,A-,3.4,3
ENR_0000000291,STU_00000015,CRS_00000467,Fall,2022,A-,3.55,2
ENR_0000000292,STU_00000015,CRS_00000098,Summer,2022,A-,3.45,3
ENR_0000000293,STU_00000015,CRS_00000317,Summer,2018,B+,3.3,3
ENR_0000000294,STU_00000015,CRS_00000288,Spring,2020,A-,3.45,3
ENR_0000000295,STU_00000015,CRS_00000446,Fall,2018,A-,3.68,3
ENR_0000000296,STU_00000015,CRS_00000000,Summer,2025,B,2.79,3
ENR_0000000297,STU_00000015,CRS_00000090,Fall,2024,A-,3.69,3
ENR_0000000298,STU_00000015,CRS_00000408,Spring,2025,A-,3.68,1
ENR_0000000299,STU_00000015,CRS_00000309,Spring,2024,A-,3.59,3
ENR_0000000300,STU_00000015,CRS_00000323,Spring,2024,A-,3.5,4
ENR_0000000301,STU_00000015,CRS_00000271,Spring,2024,A-,3.46,4
ENR_0000000302,STU_00000015,CRS_00000007,Fall,2019,B+,3.17,3
ENR_0000000303,STU_00000015,CRS_00000084,Spring,2019,A-,3.49,3
ENR_0000000304,STU_00000016,CRS_00000210,Fall,2024,B+,3.2,3
ENR_0000000305,STU_00000016,CRS_00000074,Summer,2025,B+,3.11,3
ENR_0000000306,STU_00000016,CRS_00000474,Summer,2024,A-,3.44,3
ENR_0000000307,STU_00000016,CRS_00000443,Summer,2025,A,4.0,3
ENR_0000000308,STU_00000016,CRS_00000013,Summer,2024,B-,2.42,4
ENR_0000000309,STU_00000016,CRS_00000004,Fall,2025,B+,3.06,3
ENR_0000000310,STU_00000016,CRS_00000120,Spring,2024,B,2.9,3
ENR_0000000311,STU_00000016,CRS_00000076,Summer,2024,B+,3.08,2
ENR_0000000312,STU_00000017,CRS_00000062,Spring,2022,B,2.93,3
ENR_0000000313,STU_00000017,CRS_00000132,Fall,2024,B,2.81,3
ENR_0000000314,STU_00000017,CRS_00000000,Summer,2025,B+,3.3,3
ENR_0000000315,STU_00000017,CRS_00000178,Fall,2024,B+,3.22,3
ENR_0000000316,STU_00000017,CRS_00000127,Fall,2025,B+,3.18,3
ENR_0000000317,STU_00000017,CRS_00000481,Fall,2025,B,2.74,3
ENR_0000000318,STU_00000017,CRS_00000078,Summer,2022,A,3.97,3
ENR_0000000319,STU_00000017,CRS_00000201,Fall,2024,B+,3.04,2
ENR_0000000320,STU_00000017,CRS_00000264,Spring,2023,A-,3.57,1
ENR_0000000321,STU_00000017,CRS_00000179,Fall,2024,A-,3.46,3
ENR_0000000322,STU_00000017,CRS_00000250,Summer,2023,A-,3.69,3
ENR_0000000323,STU_00000017,CRS_00000389,Spring,2022,B+,3.11,2
ENR_0000000324,STU_00000017,CRS_00000387,Fall,2024,B+,3.04,3
ENR_0000000325,STU_00000017,CRS_00000020,Summer,2023,A-,3.64,4
ENR_0000000326,STU_00000017,CRS_00000183,Spring,2023,A-,3.52,3
ENR_0000000327,STU_00000017,CRS_00000431,Spring,2024,B,2.86,3
ENR_0000000328,STU_00000018,CRS_00000293,Spring,2023,B+,3.27,4
ENR_0000000329,STU_00000018,CRS_00000307,Summer,2020,B,2.99,3
ENR_0000000330,STU_00000018,CRS_00000447,Fall,2018,A-,3.31,3
ENR_0000000331,STU_00000018,CRS_00000458,Spring,2022,B,2.75,3
ENR_0000000332,STU_00000018,CRS_00000028,Summer,2025,B+,3.3,2
ENR_0000000333,STU_00000018,CRS_00000075,Summer,2023,B+,3.26,3
ENR_0000000334,STU_00000018,CRS_00000467,Summer,2018,B+,3.08,2
ENR_0000000335,STU_00000018,CRS_00000111,Spring,2025,B,2.8,3
ENR_0000000336,STU_00000018,CRS_00000178,Spring,2018,A-,3.62,3
ENR_0000000337,STU_00000018,CRS_00000439,Spring,2017,A-,3.46,3
ENR_0000000338,STU_00000018,CRS_00000288,Fall,2023,A-,3.31,3
ENR_0000000339,STU_00000018,CRS_00000019,Spring,2023,B,2.98,4
ENR_0000000340,STU_00000018,CRS_00000372,Summer,2020,A-,3.55,3
ENR_0000000341,STU_00000018,CRS_00000262,Spring,2017,B+,3.18,3
ENR_0000000342,STU_00000018,CRS_00000045,Summer,2022,B+,3.1,3
ENR_0000000343,STU_00000018,CRS_00000233,Summer,2024,B,2.97,3
ENR_0000000344,STU_00000018,CRS_00000034,Fall,2018,B+,3.22,3
ENR_0000000345,STU_00000018,CRS_00000064,Summer,2019,B+,3.12,2
ENR_0000000346,STU_00000018,CRS_00000200,Fall,2017,A-,3.31,3
ENR_0000000347,STU_00000018,CRS_00000415,Summer,2024,B+,3.02,3
ENR_0000000348,STU_00000018,CRS_00000411,Spring,2020,A-,3.47,3
ENR_0000000349,STU_00000018,CRS_00000137,Fall,2017,A-,3.55,3
ENR_0000000350,STU_00000018,CRS_00000460,Fall,2023,A-,3.5,4
