grant_id,pi_id,award_amount,funding_agency,start_date,end_date,department,status,publication_count
GNT_0000000087,FAC_00000088,236081,Industrial Partner,2018-08-15,2021-08-14,College of Natural Sciences,Completed,3
GNT_0000000088,FAC_00000242,37121,USDA,2020-11-17,2024-11-16,College of Natural Sciences,Completed,1
GNT_0000000089,FAC_00000162,160501,DOE,2021-08-08,2024-08-07,College of Natural Sciences,Completed,6
GNT_0000000090,FAC_00000115,88728,DOE,2023-06-17,2024-06-16,College of Natural Sciences,Completed,2
GNT_0000000091,FAC_00000142,154999,DOD,2024-06-25,2029-06-24,College of Natural Sciences,Active,7
GNT_0000000092,FAC_00000348,24454,USDA,2022-12-13,2025-12-12,College of Natural Sciences,Completed,1
GNT_0000000093,FAC_00000679,54236,Private Foundation,2019-11-13,2022-11-12,College of Natural Sciences,Completed,4
GNT_0000000094,FAC_00000623,589151,Industrial Partner,2023-05-28,2027-05-27,College of Natural Sciences,Active,26
GNT_0000000095,FAC_00000630,24176,DOE,2023-07-24,2025-07-23,College of Natural Sciences,Completed,1
GNT_0000000096,FAC_00000079,376385,USDA,2018-05-25,2021-05-24,College of Natural Sciences,Cancelled,7
GNT_0000000097,FAC_00000392,146579,EPA,2022-12-04,2023-12-04,College of Natural Sciences,Completed,2
GNT_0000000098,FAC_00000005,28210,USDA,2019-10-14,2022-10-13,College of Natural Sciences,Completed,1
GNT_0000000099,FAC_00000147,147536,DOD,2019-12-05,2023-12-04,College of Natural Sciences,Completed,12
GNT_0000000100,FAC_00000521,48079,EPA,2024-04-10,2025-04-10,College of Natural Sciences,Cancelled,0
GNT_0000000101,FAC_00000323,408737,NIH,2018-11-06,2020-11-05,College of Natural Sciences,Completed,8
GNT_0000000102,FAC_00000291,87074,Industrial Partner,2018-02-20,2021-02-19,College of Natural Sciences,Completed,2
GNT_0000000103,FAC_00000638,274935,DOD,2019-03-23,2022-03-22,College of Natural Sciences,Completed,9
GNT_0000000104,FAC_00000050,363279,Industrial Partner,2020-07-26,2023-07-26,College of Natural Sciences,Completed,11
GNT_0000000105,FAC_00000331,106028,DOE,2021-03-06,2026-03-05,College of Natural Sciences,Completed,4
GNT_0000000106,FAC_00000200,521664,NSF,2019-02-07,2021-02-06,College of Natural Sciences,Completed,19
GNT_0000000107,FAC_00000397,716430,Private Foundation,2018-03-01,2020-02-29,College of Natural Sciences,Completed,14
GNT_0000000108,FAC_00000360,273092,NIH,2020-05-23,2022-05-23,College of Natural Sciences,Completed,6
GNT_0000000109,FAC_00000515,138021,DOD,2023-02-02,2027-02-01,College of Natural Sciences,Active,6
GNT_0000000110,FAC_00000610,72698,USDA,2024-05-06,2026-05-06,College of Natural Sciences,Completed,1
GNT_0000000111,FAC_00000410,362823,EPA,2024-10-09,2025-10-09,College of Natural Sciences,Completed,1
GNT_0000000112,FAC_00000654,2467376,DOD,2020-09-07,2024-09-06,College of Natural Sciences,Completed,93
GNT_0000000113,FAC_00000347,106060,USDA,2018-02-10,2020-02-10,College of Natural Sciences,Completed,1
GNT_0000000114,FAC_00000254,1499687,DOE,2024-12-16,2029-12-15,College of Natural Sciences,Active,70
GNT_0000000115,FAC_00000082,5000000,DOD,2024-09-19,2026-09-19,College of Natural Sciences,Active,97
GNT_0000000116,FAC_00000521,234859,DOC,2021-12-28,2026-12-27,College of Natural Sciences,Active,11
GNT_0000000117,FAC_00000083,205541,DOD,2022-02-03,2024-02-03,College of Natural Sciences,Completed,6
GNT_0000000118,FAC_00000365,48960,Private Foundation,2019-08-28,2024-08-26,College of Natural Sciences,Completed,2
GNT_0000000119,FAC_00000614,56720,NSF,2022-10-15,2023-10-15,College of Natural Sciences,Completed,0
GNT_0000000120,FAC_00000675,61257,Private Foundation,2019-03-27,2022-03-26,College of Natural Sciences,Completed,2
GNT_0000000121,FAC_00000664,534034,USDA,2020-07-19,2022-07-19,College of Natural Sciences,Completed,15
GNT_0000000122,FAC_00000597,20520,Industrial Partner,2023-10-20,2026-10-19,College of Natural Sciences,Active,1
GNT_0000000123,FAC_00000053,188275,Industrial Partner,2021-10-09,2023-10-09,College of Natural Sciences,Completed,4
GNT_0000000124,FAC_00000186,644881,USDA,2023-10-23,2024-10-22,College of Natural Sciences,Completed,7
GNT_0000000125,FAC_00000651,910561,Industrial Partner,2024-09-04,2026-09-04,College of Natural Sciences,Active,15
GNT_0000000126,FAC_00000579,684415,DOE,2021-11-06,2025-11-05,College of Natural Sciences,Completed,23
GNT_0000000127,FAC_00000577,4952648,USDA,2022-09-23,2027-09-22,College of Natural Sciences,Active,235
GNT_0000000128,FAC_00000325,501214,Industrial Partner,2018-04-04,2021-04-03,College of Natural Sciences,Completed,11
GNT_0000000129,FAC_00000033,101432,EPA,2021-12-18,2023-12-18,College of Natural Sciences,Completed,3
GNT_0000000130,FAC_00000502,1899003,NIH,2022-01-02,2024-01-02,College of Natural Sciences,Completed,38
GNT_0000000131,FAC_00000327,136950,NIH,2021-04-14,2022-04-14,College of Natural Sciences,Completed,2
GNT_0000000132,FAC_00000242,30971,NIH,2018-07-14,2022-07-13,College of Natural Sciences,Completed,4
GNT_0000000133,FAC_00000165,168699,Industrial Partner,2018-01-24,2021-01-23,College of Natural Sciences,Completed,3
GNT_0000000134,FAC_00000609,112304,DOE,2019-12-24,2022-12-23,College of Natural Sciences,Completed,4
GNT_0000000135,FAC_00000053,391681,USDA,2024-03-23,2027-03-23,College of Natural Sciences,Active,9
GNT_0000000136,FAC_00000229,394707,Industrial Partner,2018-01-02,2020-01-02,College of Natural Sciences,Completed,7
GNT_0000000137,FAC_00000666,214612,EPA,2023-01-12,2028-01-11,College of Natural Sciences,Active,18
GNT_0000000138,FAC_00000279,478933,NSF,2021-04-24,2025-04-23,College of Natural Sciences,Completed,16
GNT_0000000139,FAC_00000071,95486,DOC,2021-03-18,2022-03-18,College of Natural Sciences,Completed,0
GNT_0000000140,FAC_00000654,168753,EPA,2018-06-07,2020-06-06,College of Natural Sciences,Completed,4
GNT_0000000141,FAC_00000445,43812,Private Foundation,2021-09-13,2025-09-12,College of Natural Sciences,Completed,1
GNT_0000000142,FAC_00000036,219643,USDA,2023-04-28,2025-04-27,College of Natural Sciences,Completed,2
GNT_0000000143,FAC_00000141,61791,Industrial Partner,2021-02-01,2024-02-01,College of Natural Sciences,Completed,3
GNT_0000000144,FAC_00000583,15776,EPA,2023-06-21,2027-06-20,College of Natural Sciences,Active,0
GNT_0000000145,FAC_00000015,5000000,DOE,2020-01-11,2023-01-10,College of Natural Sciences,Completed,143
GNT_0000000146,FAC_00000351,1312499,NSF,2019-03-09,2021-03-08,College of Natural Sciences,Completed,40
GNT_0000000147,FAC_00000427,74437,NSF,2021-04-17,2026-04-16,College of Natural Sciences,Cancelled,5
GNT_0000000148,FAC_00000185,2527197,DOC,2023-04-18,2025-04-17,College of Natural Sciences,Completed,45
GNT_0000000149,FAC_00000476,729784,NIH,2018-12-01,2019-12-01,College of Natural Sciences,Completed,10
GNT_0000000150,FAC_00000030,64742,Private Foundation,2018-06-18,2023-06-17,College of Natural Sciences,Completed,2
GNT_0000000151,FAC_00000274,234803,USDA,2019-12-06,2020-12-05,College of Natural Sciences,Completed,2
GNT_0000000152,FAC_00000330,1666871,DOD,2020-07-27,2022-07-27,College of Natural Sciences,Completed,34
GNT_0000000153,FAC_00000116,7577,NSF,2024-10-06,2028-10-05,College of Natural Sciences,Active,0
GNT_0000000154,FAC_00000495,2074547,Industrial Partner,2022-11-25,2025-11-24,College of Natural Sciences,Completed,67
GNT_0000000155,FAC_00000009,114980,Industrial Partner,2023-10-25,2025-10-24,College of Natural Sciences,Completed,4
GNT_0000000156,FAC_00000067,192968,EPA,2023-10-02,2027-10-01,College of Natural Sciences,Active,5
GNT_0000000157,FAC_00000622,487015,DOC,2023-01-15,2026-01-14,College of Natural Sciences,Completed,20
GNT_0000000158,FAC_00000501,31487,Private Foundation,2020-07-18,2021-07-18,College of Natural Sciences,Completed,0
GNT_0000000159,FAC_00000371,3269416,NSF,2022-12-14,2024-12-13,College of Natural Sciences,Completed,71
GNT_0000000160,FAC_00000653,1597040,DOC,2020-03-27,2023-03-27,College of Natural Sciences,Completed,48
GNT_0000000161,FAC_00000385,1230857,DOC,2020-08-25,2022-08-25,College of Natural Sciences,Completed,21
GNT_0000000162,FAC_00000466,36719,EPA,2022-07-08,2024-07-07,College of Natural Sciences,Completed,0
GNT_0000000163,FAC_00000411,172461,NSF,2023-04-06,2026-04-05,College of Natural Sciences,Completed,2
GNT_0000000164,FAC_00000463,258004,Industrial Partner,2021-09-07,2024-09-06,College of Natural Sciences,Completed,6
GNT_0000000165,FAC_00000654,33521,Industrial Partner,2023-09-20,2028-09-18,College of Natural Sciences,Active,0
GNT_0000000166,FAC_00000459,341440,Private Foundation,2021-07-22,2023-07-22,College of Natural Sciences,Completed,8
GNT_0000000167,FAC_00000695,36854,NSF,2023-04-07,2027-04-06,College of Natural Sciences,Active,0
GNT_0000000168,FAC_00000391,161576,Industrial Partner,2020-08-14,2024-08-13,College of Natural Sciences,Completed,13
GNT_0000000169,FAC_00000572,106235,NIH,2024-12-03,2026-12-03,College of Natural Sciences,Active,1
GNT_0000000170,FAC_00000509,119765,DOE,2024-09-11,2029-09-10,College of Natural Sciences,Active,0
GNT_0000000171,FAC_00000243,23330,DOD,2022-11-04,2025-11-03,College of Natural Sciences,Completed,0
GNT_0000000172,FAC_00000124,244208,Private Foundation,2019-11-18,2024-11-16,College of Natural Sciences,Completed,16
GNT_0000000173,FAC_00000139,784011,Private Foundation,2023-07-06,2027-07-05,College of Natural Sciences,Active,27
GNT_0000000174,FAC_00000143,67249,DOC,2021-07-15,2023-07-15,College of Natural Sciences,Completed,1
GNT_0000000175,FAC_00000181,96257,NIH,2021-02-08,2025-02-07,College of Natural Sciences,Completed,5
GNT_0000000176,FAC_00000632,178357,USDA,2021-07-18,2025-07-17,College of Natural Sciences,Completed,6
GNT_0000000177,FAC_00000312,1403270,DOC,2018-05-25,2020-05-24,College of Natural Sciences,Completed,33
GNT_0000000178,FAC_00000243,2994828,DOD,2022-02-01,2026-01-31,College of Natural Sciences,Completed,114
GNT_0000000179,FAC_00000280,172242,NIH,2020-02-07,2022-02-06,College of Natural Sciences,Completed,3
GNT_0000000180,FAC_00000478,15585,DOE,2021-03-22,2023-03-22,College of Natural Sciences,Completed,1
GNT_0000000181,FAC_00000137,87439,NSF,2018-09-26,2021-09-25,College of Natural Sciences,Completed,2
GNT_0000000182,FAC_00000627,583818,DOC,2024-03-07,2027-03-07,College of Natural Sciences,Active,17
GNT_0000000183,FAC_00000242,112542,Industrial Partner,2021-04-23,2024-04-22,College of Natural Sciences,Completed,1
GNT_0000000184,FAC_00000089,21162,DOE,2018-10-05,2021-10-04,College of Natural Sciences,Completed,1
GNT_0000000185,FAC_00000667,22447,USDA,2020-02-22,2022-02-21,College of Natural Sciences,Completed,0
GNT_0000000186,FAC_00000068,81290,EPA,2021-09-28,2024-09-27,College of Natural Sciences,Completed,4
GNT_0000000187,FAC_00000581,662194,USDA,2021-09-24,2024-09-23,College of Natural Sciences,Completed,16
GNT_0000000188,FAC_00000223,25424,NSF,2023-04-12,2025-04-11,College of Natural Sciences,Completed,1
GNT_0000000189,FAC_00000558,3433909,DOC,2024-03-15,2027-03-15,College of Natural Sciences,Active,89
GNT_0000000190,FAC_00000165,782596,USDA,2018-12-20,2022-12-19,College of Natural Sciences,Completed,28
GNT_0000000191,FAC_00000613,117777,DOC,2020-12-28,2023-12-28,College of Natural Sciences,Completed,2
GNT_0000000192,FAC_00000221,75178,DOD,2018-02-17,2021-02-16,College of Natural Sciences,Completed,1
GNT_0000000193,FAC_00000312,1699568,DOE,2024-08-11,2025-08-11,College of Natural Sciences,Completed,17
GNT_0000000194,FAC_00000097,174853,NIH,2020-12-25,2022-12-25,College of Natural Sciences,Completed,4
GNT_0000000195,FAC_00000284,1189322,Industrial Partner,2021-12-23,2024-12-22,College of Natural Sciences,Completed,37
GNT_0000000196,FAC_00000059,453481,DOC,2019-01-13,2020-01-13,College of Natural Sciences,Completed,8
GNT_0000000197,FAC_00000446,231957,NIH,2019-08-16,2021-08-15,College of Natural Sciences,Completed,1
GNT_0000000198,FAC_00000554,89315,DOE,2023-07-04,2026-07-03,College of Natural Sciences,Completed,1
GNT_0000000199,FAC_00000511,27196,EPA,2018-11-02,2022-11-01,College of Natural Sciences,Completed,0
GNT_0000000200,FAC_00000603,123098,NIH,2023-07-25,2026-07-24,College of Natural Sciences,Active,6
GNT_0000000201,FAC_00000488,237782,NSF,2024-11-24,2029-11-23,College of Natural Sciences,Active,14
GNT_0000000202,FAC_00000161,3039486,NSF,2018-06-27,2019-06-27,College of Natural Sciences,Completed,30
GNT_0000000203,FAC_00000214,345151,DOE,2020-10-06,2021-10-06,College of Natural Sciences,Completed,4
GNT_0000000204,FAC_00000449,72270,Private Foundation,2018-01-21,2020-01-21,College of Natural Sciences,Completed,1
GNT_0000000205,FAC_00000489,14593,DOE,2019-09-17,2020-09-16,College of Natural Sciences,Completed,0
GNT_0000000206,FAC_00000358,32979,Industrial Partner,2022-02-28,2026-02-27,College of Natural Sciences,Completed,1
GNT_0000000207,FAC_00000235,479347,NSF,2021-11-27,2024-11-26,College of Natural Sciences,Completed,14
GNT_0000000208,FAC_00000473,34819,DOE,2018-05-08,2020-05-07,College of Natural Sciences,Completed,0
GNT_0000000209,FAC_00000487,84413,NSF,2021-02-20,2023-02-20,College of Natural Sciences,Completed,2
GNT_0000000210,FAC_00000171,201627,DOC,2020-03-15,2022-03-15,College of Natural Sciences,Completed,3
GNT_0000000211,FAC_00000588,60651,DOC,2019-10-15,2021-10-14,College of Natural Sciences,Completed,1
GNT_0000000212,FAC_00000615,56127,DOD,2018-07-04,2020-07-03,College of Natural Sciences,Completed,1
GNT_0000000213,FAC_00000662,817724,DOD,2019-08-17,2023-08-16,College of Natural Sciences,Completed,31
GNT_0000000214,FAC_00000571,148537,NIH,2018-12-04,2021-12-03,College of Natural Sciences,Completed,5
GNT_0000000215,FAC_00000080,33194,NIH,2018-06-19,2022-06-18,College of Natural Sciences,Completed,1
GNT_0000000216,FAC_00000235,208353,NIH,2024-07-19,2028-07-18,College of Natural Sciences,Active,9
GNT_0000000217,FAC_00000468,50220,NSF,2018-09-21,2021-09-20,College of Natural Sciences,Completed,1
GNT_0000000218,FAC_00000350,130055,DOC,2019-04-18,2021-04-17,College of Natural Sciences,Completed,1
GNT_0000000219,FAC_00000415,187933,Private Foundation,2022-12-10,2026-12-09,College of Natural Sciences,Active,12
GNT_0000000220,FAC_00000337,52147,DOD,2023-06-22,2026-06-21,College of Natural Sciences,Completed,0
GNT_0000000221,FAC_00000502,2926826,NIH,2023-08-06,2026-08-05,College of Natural Sciences,Active,95
GNT_0000000222,FAC_00000493,465868,USDA,2021-12-22,2023-12-22,College of Natural Sciences,Completed,14
GNT_0000000223,FAC_00000048,842081,Private Foundation,2024-01-23,2027-01-22,College of Natural Sciences,Active,11
GNT_0000000224,FAC_00000026,1411717,NSF,2020-12-05,2021-12-05,College of Natural Sciences,Completed,14
GNT_0000000225,FAC_00000325,36125,Private Foundation,2019-12-13,2022-12-12,College of Natural Sciences,Completed,0
GNT_0000000226,FAC_00000457,539405,NSF,2018-07-12,2021-07-11,College of Natural Sciences,Completed,22
GNT_0000000227,FAC_00000487,261017,DOC,2020-12-27,2022-12-27,College of Natural Sciences,Completed,3
GNT_0000000228,FAC_00000596,243491,USDA,2021-07-18,2023-07-18,College of Natural Sciences,Completed,3
GNT_0000000229,FAC_00000273,18775,NSF,2018-07-25,2020-07-24,College of Natural Sciences,Completed,0
GNT_0000000230,FAC_00000621,221445,DOD,2022-03-20,2024-03-19,College of Natural Sciences,Completed,3
GNT_0000000231,FAC_00000504,159840,Industrial Partner,2020-06-19,2023-06-19,College of Natural Sciences,Completed,7
GNT_0000000232,FAC_00000274,237099,EPA,2019-02-05,2021-02-04,College of Natural Sciences,Completed,4
GNT_0000000233,FAC_00000398,143784,DOE,2023-06-15,2026-06-14,College of Natural Sciences,Completed,5
GNT_0000000234,FAC_00000169,7812,NSF,2021-04-10,2023-04-10,College of Natural Sciences,Completed,0
GNT_0000000235,FAC_00000694,305405,EPA,2023-10-17,2025-10-16,College of Natural Sciences,Completed,3
GNT_0000000236,FAC_00000312,95233,Private Foundation,2020-10-19,2021-10-19,College of Natural Sciences,Completed,0
GNT_0000000237,FAC_00000332,393393,EPA,2023-03-11,2024-03-10,College of Natural Sciences,Completed,8
GNT_0000000238,FAC_00000617,138110,EPA,2022-06-08,2024-06-07,College of Natural Sciences,Completed,1
GNT_0000000239,FAC_00000243,1207269,NSF,2019-10-09,2023-10-08,College of Natural Sciences,Completed,44
GNT_0000000240,FAC_00000646,14871,DOD,2023-11-14,2025-11-13,College of Natural Sciences,Completed,1
GNT_0000000241,FAC_00000196,1549835,NSF,2022-11-21,2026-11-20,College of Natural Sciences,Active,64
GNT_0000000242,FAC_00000219,1054014,DOC,2021-01-25,2022-01-25,College of Natural Sciences,Completed,11
GNT_0000000243,FAC_00000672,20828,Private Foundation,2021-08-24,2026-08-23,College of Natural Sciences,Active,1
GNT_0000000244,FAC_00000120,86312,Industrial Partner,2024-05-05,2028-05-04,College of Natural Sciences,Active,6
GNT_0000000245,FAC_00000122,66946,DOC,2024-10-28,2027-10-28,College of Natural Sciences,Active,1
GNT_0000000246,FAC_00000539,130809,NIH,2023-10-01,2028-09-29,College of Natural Sciences,Active,7
GNT_0000000247,FAC_00000121,1397003,DOD,2022-08-09,2024-08-08,College of Natural Sciences,Completed,26
GNT_0000000248,FAC_00000263,2944543,USDA,2020-11-16,2023-11-16,College of Natural Sciences,Cancelled,86
GNT_0000000249,FAC_00000095,5000000,Private Foundation,2020-03-25,2022-03-25,College of Natural Sciences,Completed,81
GNT_0000000250,FAC_00000020,171557,USDA,2018-10-14,2021-10-13,College of Natural Sciences,Completed,4
GNT_0000000251,FAC_00000160,744776,NIH,2019-07-19,2022-07-18,College of Natural Sciences,Completed,22
GNT_0000000252,FAC_00000562,1490140,DOC,2021-05-03,2023-05-03,College of Natural Sciences,Completed,43
GNT_0000000253,FAC_00000205,848268,EPA,2024-08-19,2027-08-19,College of Natural Sciences,Active,26
